Date,Open,High,Low,Close,Volume,Value,Symbol,Source,Adj Close,Dividends,Stock Splits
2023-12-22,266.74,274.77,265.04,274.77,107,28866.39,SBER,MOEX,274.77,0,0
2023-12-25,274.72,274.77,269.51,270.51,73,19849.68,SBER,MOEX,270.51,0,0
2023-12-25,271.72,273.85,270.05,271.08,38115690,10373920560.6,SBER,MOEX,271.08,0,0
2023-12-26,271.26,274.77,269.3,274.77,73,19753.91,SBER,MOEX,274.77,0,0
2023-12-26,271.0,272.89,270.0,271.9,22658320,6150168906.6,SBER,MOEX,271.9,0,0
2023-12-27,270.96,273.49,270.1,271.01,70,19010.58,SBER,MOEX,271.01,0,0
2023-12-27,271.9,272.59,270.85,271.08,17214050,4676446141.7,SBER,MOEX,271.08,0,0
2023-12-28,272.29,272.3,267.38,272.3,54,14604.48,SBER,MOEX,272.3,0,0
2023-12-28,270.92,272.48,268.52,271.74,29439730,7965183378.6,SBER,MOEX,271.74,0,0
2023-12-29,272.0,272.41,268.52,272.41,78,21108.88,SBER,MOEX,272.41,0,0
2023-12-29,272.19,272.59,270.55,270.82,20810540,5650210977.5,SBER,MOEX,270.82,0,0
2024-01-03,271.9,274.7,271.0,274.56,20586020,5631304882.5,SBER,MOEX,274.56,0,0
2024-01-03,274.97,277.0,271.97,277.0,28,7690.83,SBER,MOEX,277.0,0,0
2024-01-04,276.99,276.99,270.0,275.49,19,5202.63,SBER,MOEX,275.49,0,0
2024-01-04,274.67,275.48,273.7,274.12,11729380,3218187919.1,SBER,MOEX,274.12,0,0
2024-01-05,274.69,274.69,271.95,271.95,10,2725.17,SBER,MOEX,271.95,0,0
2024-01-05,274.3,274.69,272.8,273.62,9635550,2634959748.5,SBER,MOEX,273.62,0,0
2024-01-08,275.85,276.0,274.17,274.17,18,4953.21,SBER,MOEX,274.17,0,0
2024-01-08,273.6,277.0,273.53,276.76,21489440,5924626062.4,SBER,MOEX,276.76,0,0
2024-01-09,273.02,278.99,273.02,274.6,150,41171.88,SBER,MOEX,274.6,0,0
2024-01-09,276.97,278.0,274.71,275.28,20316030,5601231460.4,SBER,MOEX,275.28,0,0
2024-01-10,275.5,276.99,273.95,274.5,122,33544.36,SBER,MOEX,274.5,0,0
2024-01-10,275.3,276.16,273.64,274.49,20660410,5689654961.5,SBER,MOEX,274.49,0,0
2024-01-11,274.78,275.97,274.01,275.71,19526030,5370898109.7,SBER,MOEX,275.71,0,0
2024-01-11,274.34,279.93,274.13,274.13,58,15932.08,SBER,MOEX,274.13,0,0
2024-01-12,277.5,277.5,274.55,274.64,64,17614.57,SBER,MOEX,274.64,0,0
2024-01-12,276.0,276.96,274.77,275.84,17702040,4882061544.1,SBER,MOEX,275.84,0,0
2024-01-15,281.31,281.31,272.91,275.01,96,26473.94,SBER,MOEX,275.01,0,0
2024-01-15,276.45,277.73,275.21,275.96,21397690,5915980754.2,SBER,MOEX,275.96,0,0
2024-01-16,272.97,280.0,272.96,275.99,72,19790.06,SBER,MOEX,275.99,0,0
2024-01-16,276.22,276.45,274.1,276.01,16110240,4434943891.0,SBER,MOEX,276.01,0,0
2024-01-17,276.05,279.95,275.36,277.04,96,26611.94,SBER,MOEX,277.04,0,0
2024-01-17,276.02,279.17,275.75,278.0,34256680,9523371870.2,SBER,MOEX,278.0,0,0
2024-01-18,275.8,279.99,275.8,278.46,99,27461.57,SBER,MOEX,278.46,0,0
2024-01-18,278.24,278.87,276.76,277.07,17701680,4914788384.0,SBER,MOEX,277.07,0,0
2024-01-19,277.39,277.47,273.55,274.86,28052580,7719165768.4,SBER,MOEX,274.86,0,0
2024-01-19,277.64,277.64,273.46,276.49,76,20932.82,SBER,MOEX,276.49,0,0
2024-01-22,280.0,284.83,269.92,275.5,48,13218.18,SBER,MOEX,275.5,0,0
2024-01-22,274.86,275.9,273.85,274.93,15086860,4149254623.1,SBER,MOEX,274.93,0,0
2024-01-23,283.61,283.62,275.01,276.31,39,10773.5,SBER,MOEX,276.31,0,0
2024-01-23,274.7,277.26,274.31,275.9,20092540,5551653286.2,SBER,MOEX,275.9,0,0
2024-01-24,276.31,276.31,272.12,275.0,99,27170.5,SBER,MOEX,275.0,0,0
2024-01-24,275.9,276.44,273.7,273.77,20203730,5547156811.6,SBER,MOEX,273.77,0,0
2024-01-25,274.97,274.99,271.88,274.07,55,15001.35,SBER,MOEX,274.07,0,0
2024-01-25,274.0,274.18,271.55,272.81,24436130,6660096921.1,SBER,MOEX,272.81,0,0
2024-01-26,274.52,274.52,271.19,274.5,68,18504.21,SBER,MOEX,274.5,0,0
2024-01-26,273.1,273.72,272.21,272.65,11131250,3039687676.7,SBER,MOEX,272.65,0,0
2024-01-29,273.02,274.95,272.7,274.05,17095190,4686446978.0,SBER,MOEX,274.05,0,0
2024-01-29,272.3,275.0,272.3,274.97,72,19674.73,SBER,MOEX,274.97,0,0
2024-01-30,274.98,276.89,272.5,274.5,114,31215.5,SBER,MOEX,274.5,0,0
