Price,High,Low,Close,Volume
Ticker,SBER.ME,SBER.ME,SBER.ME,SBER.ME
Date,,,,
2016-10-12,111.15809739235948,109.11957649701672,109.40555572509766,35366325
2016-10-13,109.00224382227209,106.88306164231153,107.12504577636719,52838362
2016-10-14,108.49628900597735,107.1763806357863,107.59434509277344,37124120
2016-10-17,107.8876593332074,106.72173379942481,107.3963623046875,42618240
2016-10-18,108.84827083488173,107.80701279974119,108.33497619628906,32955010
2016-10-19,109.4055457796392,108.57694568533424,108.96558380126953,31874450
2016-10-20,109.25889491411759,108.00497918356155,108.71626281738281,34266571
2016-10-21,109.14156438880478,108.14430157077479,108.83358764648438,23329815
2016-10-24,110.32216436915782,109.21491368415455,109.368896484375,37453910
2016-10-25,111.62740501233976,109.4202324095049,111.14344787597656,36161049
2016-10-26,111.23876113794935,109.80886496715871,110.48348236083984,35952880
2016-10-27,111.18008834631807,109.4788818359375,109.4788818359375,28739203
2016-10-28,110.05084677881194,108.76027586036682,109.40555572509766,22418131
2016-10-31,109.25157322892275,108.08564758300781,108.08564758300781,27721920
2016-11-01,109.24424426723157,106.84642248709105,106.94908142089844,44170010
2016-11-02,106.79507698522123,104.34592038311855,104.3899154663086,60228870
2016-11-03,105.34318429626518,103.832626751138,104.67589569091797,40341340
2016-11-07,106.23778345423737,104.52923692170666,105.15251922607422,32443575
2016-11-08,107.30103986195617,105.3578379590898,107.13971710205078,37347740
2016-11-09,110.98211783817749,104.4925745237412,110.75479125976562,102394660
2016-11-10,114.07655759927994,111.34141076444678,112.45600128173828,100426421
2016-11-11,112.69065280772624,111.04811003166564,111.09943389892578,69515020
2016-11-14,112.08203989871134,109.38355916806125,110.28549194335938,47655170
2016-11-15,111.73004736667019,109.07557313373869,109.88218688964844,50518750
2016-11-16,111.37075614996358,109.3908878892059,109.94818878173828,35759620
2016-11-17,110.68879598965682,109.2222335752487,109.8088607788086,37684670
2016-11-18,110.60813396790202,109.72819876215642,110.02884674072266,27291320
2016-11-21,112.37533689012714,110.6521217020265,112.1920166015625,40030400
2016-11-22,114.15722575957976,112.66133685240281,113.65859985351562,68572050
2016-11-23,113.98123396869765,113.32861413422643,113.82723999023438,36365080
2016-11-24,118.20492496409457,113.87857044160366,118.16825866699219,68798523
2016-11-25,119.83280491190314,116.54770847303678,117.5889663696289,69148720
2016-11-28,118.14626193893024,116.17373374447747,116.88501739501953,33551380
2016-11-29,117.83828138356851,115.56511647762873,115.90975952148438,49350615
2016-11-30,117.42032494913522,115.64578574530628,116.3717269897461,62385980
2016-12-01,117.32499481037709,115.67511207085617,116.3717269897461,44384190
2016-12-02,117.28099550407545,115.19847960654215,116.88501739501953,52755790
2016-12-05,119.6934926647961,116.17374050462593,118.80622863769531,56633440
2016-12-06,119.48084265337822,116.8483657836914,116.8483657836914,47160440
